case,method,seed,makespan,logical_calls,new_calls,elapsed_seconds,timeouts,stop_reason,winner_plan
case_048,portfolio,73,222220,12,2,1.0242857079720125,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104701-88cd0b09038d4993ba863b79965d0fff/plan.json
case_093,adaptive,42,15876,2,0,0.10349541692994535,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104702-b9d5e16448dd47ba9b57652458701838/plan.json
case_037,adaptive,17,43013,7,0,0.18986958300229162,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104702-6a3a4a649e784bf0b8cf95b79fbb46d2/plan.json
case_074,hybrid,73,331718,8,0,0.8140143339987844,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104703-e569614adbbc434db64181b2e425b1de/plan.json
case_042,portfolio,73,342220,10,0,1.5072830419521779,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104704-d0aa569cfd1041d0909816f263f4eac3/plan.json
case_086,portfolio,42,95806,12,1,1.8281900419387966,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104703-5bc91693caea42a5949e069a7de28aee/plan.json
case_038,hybrid,73,278976,8,0,1.2392892090138048,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104705-3eeb1cc651e34ddeb4b130e0f7454795/plan.json
case_086,adaptive,17,95806,12,0,0.5466803329763934,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104705-811e566a4111426dab4647412b7732c1/plan.json
case_026,adaptive,17,41688,12,0,0.1554955419851467,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104705-a2c792dfc7e3416f90a0b9791a0be88d/plan.json
case_038,adaptive,73,283793,4,0,1.0145941670052707,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104706-f288ddb3a05547a39a26971113e98d6e/plan.json
case_074,adaptive,42,336492,4,0,0.6403767080046237,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104706-908803e2287341fdb6a64d19fc4430c7/plan.json
case_024,hybrid,42,2555343,7,0,0.8006005840143189,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104706-6d024e4d8c8f41d0a4ebdfc08247d2fc/plan.json
case_037,portfolio,42,43013,8,0,0.28865479200612754,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104707-4c3e6a37773d4ac7b646311191feebbe/plan.json
case_066,hybrid,42,199028,12,0,1.123114833026193,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104707-9de4e013e0c34f4ba68d66760453b55e/plan.json
case_018,hybrid,73,205917,8,0,0.6401156249921769,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104707-3fca4fa5edcb4a02bb8d18bd2c3410cb/plan.json
case_038,adaptive,17,279703,4,0,0.969295582966879,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104708-a134719ebc8a4c7ab31777657d09c848/plan.json
case_036,hybrid,42,187182,6,0,0.5815571659477428,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104708-6744e6274a7a4b7ba8d552d154762a7f/plan.json
case_064,portfolio,73,16370,12,0,0.19773612509015948,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104709-a379b2ea3a1246149fb2f30209ff3425/plan.json
case_015,adaptive,73,43411,12,0,0.26070820807944983,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104709-8c1e048288014beab5a92734419dde4e/plan.json
case_066,portfolio,73,200034,12,0,1.622928166994825,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104709-9bd9249c38d747d1af88aae12cb2cc16/plan.json
case_018,adaptive,73,205917,5,0,0.5298140839440748,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104710-27b706aca8a34190b65e1b6b8db18e0c/plan.json
case_071,hybrid,42,11491,12,0,0.12226179195567966,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104710-a405c208a73847529fb88d79d45f0bfc/plan.json
case_086,hybrid,73,95481,12,0,0.6876147500006482,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104710-c782c79c815e40d9bc0d24a552c7523d/plan.json
case_026,portfolio,17,41665,12,0,0.23713641706854105,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104710-81b6e54057c74e37a1206426ec5762b2/plan.json
case_048,hybrid,73,222220,12,0,0.243875875021331,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104710-71c114e64ab4474ea89abe884b43124f/plan.json
case_048,portfolio,17,222220,12,0,0.3387633330421522,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104710-229612d8d1f04a7d99569d6c9fb6bc0e/plan.json
case_068,portfolio,17,268666,12,0,1.4341850000200793,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104711-39dee11c22b545cdb0ed211777970e2e/plan.json
case_023,portfolio,17,23846,5,0,0.3205702090635896,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104712-cc0a90bfb38142ffbb516bb8cf33ebed/plan.json
case_050,hybrid,73,77776,12,0,0.8648137500276789,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104712-ae6be3ba6f2f4b80882f6459959726d1/plan.json
case_002,hybrid,73,114539,12,0,0.36481250007636845,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104713-2f8dd5d4de764788800a15dffaec47f9/plan.json
case_074,portfolio,73,331718,8,0,1.1870229160413146,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104714-bfc5905b5ed04c41a2dd9588a6b38647/plan.json
case_064,adaptive,42,16469,12,0,0.11970020807348192,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104714-2d3ab718ba4443c787ca7168b125d09c/plan.json
case_048,adaptive,42,211661,12,0,0.19105016603134573,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104714-8e5d4ea389014b1a8f05266b1da26b22/plan.json
case_023,hybrid,42,24161,5,0,0.22130929096601903,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104715-3a5056ca5889455fa91d12925d74fd08/plan.json
case_093,hybrid,73,15876,3,0,0.1372177500743419,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104715-8dc02f9abe3443d19c325e82a5b235be/plan.json
case_027,portfolio,17,558753,7,0,0.5502009580377489,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104715-44e4a67fff6d44679458a727e0da9b67/plan.json
case_081,adaptive,42,30943,5,0,0.36233891698066145,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104715-c1913fd0eb7443cdbe7bc613a685ffc1/plan.json
case_024,portfolio,17,1095114,12,2,5.710513916914351,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104712-f6ba27dc137d47ebbb7d6db6a77af45c/plan.json
case_015,hybrid,17,43411,12,0,0.27415075001772493,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104717-a2370c70839e4ca69862f4b02ecf3631/plan.json
case_042,portfolio,17,342220,10,0,1.4671763750957325,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104717-7bf5e4b0961240049304194623504a82/plan.json
case_009,hybrid,17,83830,12,0,1.011535125086084,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104718-10be50f97b7a4962a921e8ac096ffba8/plan.json
case_042,portfolio,42,342220,10,0,1.4811370000243187,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104718-926c636ee26745d6a43aff0fad420cc8/plan.json
case_081,hybrid,42,30943,7,0,0.4937111249892041,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104718-748e2870b60d496b872cbc6bf0d46625/plan.json
case_018,hybrid,42,205917,8,0,0.6534333750605583,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104719-537a7af426fb4912a647e6fc1c15842f/plan.json
case_050,portfolio,73,77776,12,0,1.3122242919635028,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104720-040daced5bad414fa6e913f15fcab1e2/plan.json
case_009,adaptive,73,83830,12,0,0.8575079169822857,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104720-e0dd30b14ee1426daef51ea68e7df0e9/plan.json
case_002,portfolio,73,80355,12,1,0.8604226659517735,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104720-d51c7de64e214030a1270bcf1ada09f0/plan.json
case_093,portfolio,42,15876,3,0,0.19527195789851248,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104721-dce7d5e0f9454f4bbc741ed1ab426e73/plan.json
case_024,adaptive,42,2555343,6,0,0.6005319999530911,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104720-6ee4d673b64040339c008b2a1a40bf81/plan.json
case_071,adaptive,17,13396,12,0,0.10649929090868682,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104721-ab6de3919e2347fa8be28d82d4200d1f/plan.json
case_017,portfolio,17,35496,6,0,0.4474380830070004,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104721-5f78e998b12a4487bf3b7f33daf03804/plan.json
case_017,portfolio,73,35496,6,0,0.45385470800101757,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104721-5f3ff05cf0f8461dbe86d8fc2ad41553/plan.json
case_100,adaptive,73,57971,12,0,0.25503574998583645,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104722-0278e19adaf44c2bad916f0ead29e912/plan.json
case_023,adaptive,42,24486,2,0,0.1803222500020638,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104722-3416d65885ad4318991aae9526d3e469/plan.json
case_066,portfolio,17,199671,12,0,1.597877666936256,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104722-9b7350ae78e3462f8b607766ec3734d5/plan.json
case_002,portfolio,42,80355,12,0,0.5611117910593748,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104723-acaf7fa026c64bb8a52af7c578af8f2a/plan.json
case_036,adaptive,17,187182,5,0,0.4844994170125574,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104723-3c1ea01e7201438a80e0414952acddd6/plan.json
case_026,hybrid,17,41665,12,0,0.17663133307360113,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104723-673410cc4d0442d8ad0a57df990b53d1/plan.json
case_017,hybrid,73,35496,6,0,0.30585795792285353,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104723-742a3646cdce4b2db647127de9216a81/plan.json
case_068,adaptive,73,268666,12,0,0.8155983750475571,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104723-cdbe2f86574642aab3bc01fdcbf3881c/plan.json
case_093,portfolio,73,15876,3,0,0.20217979105655104,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104723-a18ee2680e0a4bb7aa48359c61155dda/plan.json
case_100,adaptive,42,57971,12,0,0.26740874990355223,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104724-9df512324b1745268fa34928ab0fdb08/plan.json
case_009,adaptive,17,83830,12,0,0.8631462079938501,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104724-c20bd448f4f84253ad9746460eaf547f/plan.json
case_068,hybrid,17,268666,12,0,0.9472120839636773,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104724-2a48b6daea1c497fbea0d726fadcf6bb/plan.json
case_100,hybrid,73,57811,12,0,0.29319229209795594,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104725-e7379c68cf994aa5b0b02b248cca009f/plan.json
case_009,hybrid,73,83830,12,0,1.019376042066142,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104725-d0e6d54bfef648bca08e8027c388282b/plan.json
case_017,adaptive,42,35496,4,0,0.24470641603693366,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104726-fb93bb802a77417b8d2ea8fbe58910ac/plan.json
case_042,adaptive,17,351786,4,0,0.8185623749159276,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104726-11a3a89604fc4ceca5228a9339126efe/plan.json
case_042,adaptive,42,351786,4,0,0.8624656250467524,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104726-dde474b17bae4c228e8a5ea1d7363cf2/plan.json
case_068,hybrid,73,268666,12,0,0.9938918330008164,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104727-8387d0866daa4f36a5580cd506e1218d/plan.json
case_023,portfolio,42,24161,5,0,0.33146312495227903,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104727-f3f0b30108c14cf2b015b49d2a5bd37e/plan.json
case_027,adaptive,17,558753,6,0,0.38126904203090817,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104727-35dac9ec5b9f4bfc9a0fee6625008722/plan.json
case_009,portfolio,73,83830,12,0,1.5006794579094276,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104728-46ec79751f82476ea14dde0d8d1f9944/plan.json
case_050,portfolio,42,77776,11,0,1.5243853749707341,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104728-8db3ab1593d640fe9f049ac7a3516fa1/plan.json
case_018,adaptive,17,205917,5,0,0.5312351250322536,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104729-5f016e8750fb425ca07b3fc7d8ccef55/plan.json
case_002,hybrid,17,114539,12,0,0.3647757079452276,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104729-a2b1878be4f44f9ea27e2779996f20a3/plan.json
case_071,adaptive,42,13396,12,0,0.1097263329429552,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104729-be0a96e053434270a435b5dcb07c9a7c/plan.json
case_050,hybrid,17,77776,12,0,0.8723193749319762,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104730-0ccec03eb245485aa966b87481a1da13/plan.json
case_023,hybrid,73,23846,5,0,0.22037354204803705,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104730-692310be270644d9b8d109f9159124ff/plan.json
case_068,hybrid,42,268666,12,0,0.9502343750791624,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104730-97fc1996fa51405aaa761bd57a3f2ae1/plan.json
case_064,adaptive,73,16469,12,0,0.12171487498562783,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104731-a5ac2bd79ee74c94bf32b6dfb4d61270/plan.json
case_068,portfolio,42,268666,12,0,1.452716458006762,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104730-31e8df55e67f48a9a09773251ed6f78d/plan.json
case_036,portfolio,73,187182,6,0,0.8387586669996381,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104731-2ec41c54dae74df3bd627c11f5e25f3a/plan.json
case_017,portfolio,42,35496,6,0,0.45004891604185104,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104731-9f08337a501343dba564904fcd70793c/plan.json
case_026,adaptive,73,41688,12,0,0.1578555420273915,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104732-755aec5a239646598c4ebe8658537d78/plan.json
case_002,adaptive,42,114925,12,0,0.29661287495400757,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104732-ccd127f957e24fc4ad073f0732f815fc/plan.json
case_048,adaptive,73,211661,12,0,0.20010483299847692,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104732-e8dd198533e949cd9a584fed6e2137bb/plan.json
case_027,adaptive,73,558753,6,0,0.37483433296438307,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104732-805f16477b3e45a9b7dc068fff76eade/plan.json
case_071,portfolio,73,12170,12,0,0.18566258298233151,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104732-49dd3fd52fbb4c28ba428c3697827521/plan.json
case_093,hybrid,17,15876,3,0,0.13472679106052965,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104732-ce2f746c996f47ab98826ec39a4601c4/plan.json
case_023,adaptive,73,24268,2,0,0.1987380830105394,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104732-0152013a64d2407aa6503ab26e6fb52a/plan.json
case_100,hybrid,42,57811,12,0,0.30369345808867365,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104733-3976166b83d24ec4905114d384a0e8f5/plan.json
case_017,adaptive,17,35496,4,0,0.24159141595009714,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104733-422a79e5980840e696c43076f6343385/plan.json
case_027,portfolio,42,558753,7,0,0.550153375021182,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104733-768d05fcf13f481db9656a0a5ab3da6e/plan.json
case_037,adaptive,73,43013,7,0,0.1981901249382645,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104733-b657d504bb9447b19afeeb45bec92c0c/plan.json
case_074,hybrid,17,330675,8,0,0.8126378339948133,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104734-75f7e0f13bc0454d8fe06994eba658d3/plan.json
case_050,adaptive,17,78548,9,0,0.8082966250367463,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104734-4e839086ddaa4cc289a7d36aeff799c0/plan.json
case_038,hybrid,42,276053,8,0,1.286239541019313,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104734-83a67efb74774747aa5ef63793b30cc4/plan.json
case_015,adaptive,42,43411,12,0,0.2609800840727985,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104734-991a940207e541e1972d6f0ea3874128/plan.json
case_015,adaptive,17,43411,12,0,0.2561277080094442,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104735-6f5e3a8ea31742d292c1cb4f2d286c75/plan.json
case_017,hybrid,17,35496,6,0,0.2958320420002565,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104735-a1827802bea346f894f4820a685b1e20/plan.json
case_027,portfolio,73,558753,7,0,0.5527616660110652,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104735-ea3c62eb9cee4db09968d2a719656021/plan.json
case_048,portfolio,42,222220,12,0,0.3418063750723377,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104735-fd4e7774f2374f94811806d9629a4508/plan.json
case_024,portfolio,42,1095114,12,2,5.224817875074223,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104737-2b42bc18ab2f4e8b85e80371f306e1ea/plan.json
case_023,portfolio_diverse,42,24161,5,0,0.4322034999495372,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T105137-1e80d7b0d1314d5db73b09533a057695/plan.json
case_093,portfolio_diverse,42,15876,3,0,0.2590972080361098,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T105137-3e74a42dad0841f0823683e071533f46/plan.json
case_064,portfolio_diverse,17,16370,12,0,0.2660420420579612,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T105137-2041168388d24670a61ed127cdb18e74/plan.json
case_042,portfolio_diverse,42,342220,10,0,1.9614260410889983,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T105141-22db5f13b12e4349934690dcdd9d42c0/plan.json
case_086,portfolio_diverse,17,95806,12,0,1.4671220829477534,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T105142-b51d5a894b8f4d489909dea46918f2e3/plan.json
case_024,portfolio_diverse,73,1095114,12,0,1.9713747919304296,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T105145-644deb8c62464a06867b4b7370c6df80/plan.json
case_027,portfolio_diverse,73,558753,7,0,0.7494020420126617,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T105146-4fa5b1c92ca94c0681870a22eb0793a6/plan.json
case_100,portfolio_diverse,73,57811,12,0,0.5995152499526739,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T105147-9a61e49f93944b70afdeafbd0f848664/plan.json
